airportID,airportName,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,tz_olson,type,source
1197,Larnaca International Airport,Larnaca,Cyprus,LCA,LCLK,34.875099182128906,33.624900817871094,8,2,E,Asia/Nicosia,airport,OurAirports
1198,Paphos International Airport,Paphos,Cyprus,PFO,LCPH,34.71799850463867,32.48569869995117,41,2,E,Asia/Nicosia,airport,OurAirports
1590,Ben Gurion International Airport,Tel-aviv,Israel,TLV,LLBG,32.01139831542969,34.88669967651367,135,2,E,Asia/Jerusalem,airport,OurAirports
1591,Beersheba (Teyman) Airport,Beer-sheba,Israel,BEV,LLBS,31.287000656128,34.722999572754,656,2,E,Asia/Jerusalem,airport,OurAirports
1594,Eilat Airport,Elat,Israel,ETH,LLET,29.56130027770996,34.96009826660156,42,2,E,Asia/Jerusalem,airport,OurAirports
1595,Ein Yahav Airfield,Eyn-yahav,Israel,EIY,LLEY,30.621700286865234,35.20330047607422,-164,2,E,Asia/Jerusalem,airport,OurAirports
1596,Haifa International Airport,Haifa,Israel,HFA,LLHA,32.80939865112305,35.04309844970703,28,2,E,Asia/Jerusalem,airport,OurAirports
1598,Ben Ya'akov Airport,Rosh Pina,Israel,RPN,LLIB,32.98099899291992,35.5718994140625,922,2,E,Asia/Jerusalem,airport,OurAirports
1600,Bar Yehuda Airfield,Metzada,Israel,MTZ,LLMZ,31.32819938659668,35.38859939575195,-1266,2,E,Asia/Jerusalem,airport,OurAirports
1601,Nevatim Air Base,Nevatim,Israel,VTM,LLNV,31.208299636799996,35.012298584,1330,2,E,Asia/Jerusalem,airport,OurAirports
1602,Ovda International Airport,Ovda,Israel,VDA,LLOV,29.94029998779297,34.93579864501953,1492,2,E,Asia/Jerusalem,airport,OurAirports
1604,Ramon Air Base,Ramon,Israel,MIP,LLRM,30.776100158691406,34.66669845581055,2126,2,E,Asia/Jerusalem,airport,OurAirports
1605,Sde Dov Airport,Tel-aviv,Israel,SDV,LLSD,32.11470031738281,34.78219985961914,43,2,E,Asia/Jerusalem,airport,OurAirports
2048,Herat Airport,Herat,Afghanistan,HEA,OAHR,34.209999084472656,62.22829818725586,3206,4.5,U,Asia/Kabul,airport,OurAirports
2049,Jalalabad Airport,Jalalabad,Afghanistan,JAA,OAJL,34.39979934692383,70.49859619140625,1814,4.5,U,Asia/Kabul,airport,OurAirports
2050,Hamid Karzai International Airport,Kabul,Afghanistan,KBL,OAKB,34.565899,69.212303,5877,4.5,U,Asia/Kabul,airport,OurAirports
2051,Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,31.505800247192383,65.8478012084961,3337,4.5,U,Asia/Kabul,airport,OurAirports
2052,Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,35.93080139160156,64.76090240478516,2743,4.5,U,Asia/Kabul,airport,OurAirports
2053,Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR,OAMS,36.70690155029297,67.20970153808594,1284,4.5,U,Asia/Kabul,airport,OurAirports
2054,Shindand Airport,Shindand,Afghanistan,OAH,OASD,33.3913002014,62.2610015869,3773,4.5,U,Asia/Kabul,airport,OurAirports
2056,Konduz Airport,Kunduz,Afghanistan,UND,OAUZ,36.66510009765625,68.91079711914062,1457,4.5,U,Asia/Kabul,airport,OurAirports
2057,Bahrain International Airport,Bahrain,Bahrain,BAH,OBBI,26.27079963684082,50.63359832763672,6,3,U,Asia/Bahrain,airport,OurAirports
